,machine_cpu_uti,machine_memory_uti,cluster_cpu,cluster_memory,machine,time(s)
3722,0.417673611,0.106516304,0.358987295,0.121185104,k8s-worker3,715258
3723,0.417673611,0.106516304,0.350093696,0.114585269,k8s-worker3,715258
3724,0.416994048,0.108031856,0.332633138,0.113380102,k8s-worker3,715316
3725,0.416994048,0.108031856,0.356519604,0.126675469,k8s-worker3,715316
3726,0.283316964,0.091033189,0.360801239,0.110155752,k8s-master,715316
3727,0.316291667,0.067590592,0.340700796,0.119716702,k8s-worker5,714888
3728,0.316291667,0.067590592,0.332304304,0.10521083,k8s-worker5,714888
3729,0.316291667,0.067590592,0.335280649,0.111531672,k8s-worker5,714888
3730,0.418133333,0.10462205,0.372304414,0.110687372,k8s-worker5,714965
3731,0.418133333,0.10462205,0.361495598,0.115504923,k8s-worker5,714965
3732,0.418133333,0.10462205,0.373396083,0.106330899,k8s-worker5,714965
3733,0.478921296,0.139239805,0.376553524,0.126392299,k8s-worker5,715038
3734,0.478921296,0.139239805,0.361992929,0.117176866,k8s-worker5,715038
3735,0.478921296,0.139239805,0.36081228,0.133017762,k8s-worker5,715038
3736,0.484578125,0.145710397,0.366493577,0.137698816,k8s-worker5,715106
3737,0.484578125,0.145710397,0.358838279,0.120409864,k8s-worker5,715106
3738,0.484578125,0.145710397,0.360951802,0.126899528,k8s-worker5,715106
3739,0.477067708,0.152945011,0.37238069,0.133620772,k8s-worker5,715177
3740,0.477067708,0.152945011,0.374084945,0.130032783,k8s-worker5,715177
3741,0.477067708,0.152945011,0.364614904,0.130107283,k8s-worker5,715177
3742,0.475564815,0.157113438,0.356201016,0.116627954,k8s-worker5,715247
